Title,Description,Price,Image,Shop Here
Roadster,Cotton Relaxed T-shirt,Rs. 237,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-printed-detail-pure-cotton-relaxed-t-shirt/26043850/buy
U.S. Polo Assn.,Lounge T-Shirt,Rs. 496,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-olive-green-solid-lounge-t-shirt/2465168/buy
Mr Bowerbird,Solid Sweater Pure Cotton T-shirt,Rs. 857,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/mr+bowerbird/mr-bowerbird-men-rust-coloured-solid-tailored-fit-round-neck-sweater-pure-cotton-t-shirt/8890067/buy
HIGHLANDER,Structured Regular Fit Tshirt,Rs. 402,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/highlander/highlander-henley-neck-popcorn-structured-regular-fit-tshirt/21769352/buy
Roadster,Cotton Polo Collar T-shirt,Rs. 607,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-self-striped-polo-collar-pure-cotton-t-shirt/26042848/buy
Technosport,Cricket Slim Fit Jersey,Rs. 331,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/technosport/technosport-unisex-blue-round-neck-cricket-slim-fit-jersey/25511762/buy
U.S. Polo Assn. Denim Co.,Men Printed Polo Collar Applique Slim Fit T-shirt,Rs. 1869,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-men-printed-polo-collar-applique-slim-fit-t-shirt/31750932/buy
Maniac,Printed Cotton T-Shirt,Rs. 446,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/maniac/maniac-typography-printed-round-neck-raglan-half-sleeve-cotton-t-shirt/29810122/buy
Nautica,Striped Pure Cotton T-shirt,Rs. 895,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/nautica/nautica-striped-polo-collar-pure-cotton-t-shirt/8949959/buy
Park Avenue,Men Striped Polo Collar Slim Fit T-shirt,Rs. 719,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/park+avenue/park-avenue-men-striped-polo-collar-slim-fit-t-shirt/21934468/buy
Pepe Jeans,Pack Of 2 Lounge T-shirts,Rs. 558,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/lounge-tshirts/pepe+jeans/pepe-jeans-pack-of-2-cotton-sleeveless-lounge-t-shirts/28519060/buy
Park Avenue,Striped Polo Slim Fit T-shirt,Rs. 644,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/park+avenue/park-avenue-striped-polo-collar-slim-fit-t-shirt/21934512/buy
HIGHLANDER,Textured Henley Neck T-shirt,Rs. 356,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/highlander/highlander-men-popcorn-structured-regular-fit-t-shirt/21769392/buy
HRX by Hrithik Roshan,Rapid-Dry Running T-shirt,Rs. 305,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-typography-printed-rapid-dry-running-t-shirt/25656816/buy
Maniac,Men Henley Neck Pockets T-shirt,Rs. 671,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21769236/2023/1/31/bbe6181b-fb6e-45e4-96ab-6f22416bf28b1675144348331Tshirts6.jpg",https://www.myntra.com/tshirts/maniac/maniac-men-henley-neck-pockets-t-shirt/30521331/buy
